_id,INSPECT_ID,SR_NUM,BEG_DATE,END_DATE,STATUS
1,119293,HCE-20140108-2523,2014-01-31T00:00:00,2014-01-31T00:00:00,NO CAUSE FOR ACTION INSPECTION
2,119296,HCE-20140129-2719,2014-01-31T00:00:00,2014-01-31T00:00:00,NO CAUSE FOR ACTION INSPECTION
3,119305,HCE-20131025-6815,2014-01-31T00:00:00,2014-01-31T00:00:00,
4,119306,HCE-20130805-5228,2014-01-03T00:00:00,2014-01-03T00:00:00,
5,119309,HCE-20131125-7043,2014-01-14T00:00:00,2014-01-14T00:00:00,ALL PREVIOUSLY CITED VIOLATIONS HAVE BEEN CORRECTED
6,119311,HCE-20140224-2888,2014-02-24T00:00:00,2014-02-24T00:00:00,ALL PREVIOUSLY CITED VIOLATIONS HAVE BEEN CORRECTED
7,119312,HCE-20131223-7227,2014-02-25T00:00:00,2014-02-25T00:00:00,
8,119313,HCE-20131227-7246,2014-02-24T00:00:00,2014-02-24T00:00:00,ALL PREVIOUSLY CITED VIOLATIONS HAVE BEEN CORRECTED
9,119314,HCE-20130904-6268,2014-02-24T00:00:00,2014-02-24T00:00:00,
10,119319,HCE-20140116-2592,2014-02-24T00:00:00,2014-02-24T00:00:00,
11,119320,HCE-20130918-6467,2014-02-24T00:00:00,2014-02-24T00:00:00,
12,119321,HCE-20130621-4533,2014-02-21T00:00:00,2014-02-21T00:00:00,
13,119322,HCE-20140109-2522,2014-02-24T00:00:00,2014-02-24T00:00:00,
14,119323,HCE-20140206-2769,2014-02-24T00:00:00,2014-02-24T00:00:00,
15,119324,HCE-20131209-7130,2014-02-24T00:00:00,2014-02-24T00:00:00,
16,119329,HCE-20140113-2563,2014-02-21T00:00:00,2014-02-21T00:00:00,
17,119905,HCE-20130802-5199,2014-01-22T00:00:00,2014-01-22T00:00:00,ALL PREVIOUSLY CITED VIOLATIONS HAVE BEEN CORRECTED
18,119907,HCE-20130715-4894,2014-01-23T00:00:00,2014-01-23T00:00:00,ALL PREVIOUSLY CITED VIOLATIONS HAVE BEEN CORRECTED
19,119908,HCE-20130823-5496,2014-01-23T00:00:00,2014-01-23T00:00:00,
20,119909,HCE-20131230-7255,2014-01-23T00:00:00,2014-01-23T00:00:00,
21,119910,HCE-20131122-7033,2014-01-22T00:00:00,2014-01-22T00:00:00,
22,119911,HCE-20140121-2656,2014-01-22T00:00:00,2014-01-22T00:00:00,
23,119912,HCE-20140211-2800,2014-02-12T00:00:00,2014-02-12T00:00:00,NO CAUSE FOR ACTION INSPECTION
24,119913,HCE-20131126-7060,2014-02-03T00:00:00,2014-02-03T00:00:00,NO CAUSE FOR ACTION INSPECTION
25,119914,HCE-20140123-2650,2014-02-14T00:00:00,2014-02-14T00:00:00,
26,119915,HCE-20130807-5265,2014-01-24T00:00:00,2014-01-24T00:00:00,
27,119916,HCE-20131009-6760,2014-01-28T00:00:00,2014-01-28T00:00:00,ALL PREVIOUSLY CITED VIOLATIONS HAVE BEEN CORRECTED
