_id,device_id,store_id,device_type,device_group,make,model,serial_number,pump,grade,capacity,inspection_cycle,remarks,deleted
9395035,1,33113,GASOLINE,FUEL DISPENSER,GILBARCO,,406953,1,S-93,,12 MONTH,,0
9395036,2,33113,GASOLINE,FUEL DISPENSER,GILBARCO,,406953,2,S-93,,12 MONTH,,0
9395037,3,33113,GASOLINE,FUEL DISPENSER,GILBARCO,,406954,3,S-93,,12 MONTH,,0
9395038,4,33113,GASOLINE,FUEL DISPENSER,GILBARCO,,406954,4,S-93,,12 MONTH,,0
9395039,5,33113,GASOLINE,FUEL DISPENSER,GILBARCO,,406955,5,S-93,,12 MONTH,,0
9395040,6,33113,GASOLINE,FUEL DISPENSER,GILBARCO,,406955,6,S-93,,12 MONTH,,0
9395041,7,33113,GASOLINE,FUEL DISPENSER,GILBARCO,,406956,7,S-93,,12 MONTH,,0
9395042,8,33113,GASOLINE,FUEL DISPENSER,GILBARCO,,406956,8,S-93,,12 MONTH,,0
9395043,9,33113,GASOLINE,FUEL DISPENSER,GILBARCO,,406957,9,S-93,,12 MONTH,,0
9395044,10,33113,GASOLINE,FUEL DISPENSER,GILBARCO,,406957,10,S-93,,12 MONTH,,0
9395045,11,33113,GASOLINE,FUEL DISPENSER,GILBARCO,,406958,11,S-93,,12 MONTH,,0
9395046,12,33113,GASOLINE,FUEL DISPENSER,GILBARCO,,406958,12,S-93,,12 MONTH,,0
9395047,13,33113,GASOLINE,FUEL DISPENSER,GILBARCO,,406959,13,S-93,,12 MONTH,,0
9395048,14,33113,GASOLINE,FUEL DISPENSER,GILBARCO,,406959,14,S-93,,12 MONTH,,0
9395049,15,33113,GASOLINE,FUEL DISPENSER,GILBARCO,,406953,1,PL-89,,12 MONTH,,0
9395050,16,33113,GASOLINE,FUEL DISPENSER,GILBARCO,,406953,2,PL-89,,12 MONTH,,0
9395051,17,33113,GASOLINE,FUEL DISPENSER,GILBARCO,,406954,3,PL-89,,12 MONTH,,0
9395052,18,33113,GASOLINE,FUEL DISPENSER,GILBARCO,,406954,4,PL-89,,12 MONTH,,0
9395053,19,33113,GASOLINE,FUEL DISPENSER,GILBARCO,,406955,5,PL-89,,12 MONTH,,0
9395054,20,33113,GASOLINE,FUEL DISPENSER,GILBARCO,,406955,6,PL-89,,12 MONTH,,0
9395055,21,33113,GASOLINE,FUEL DISPENSER,GILBARCO,,406956,7,PL-89,,12 MONTH,,0
9395056,22,33113,GASOLINE,FUEL DISPENSER,GILBARCO,,406956,8,PL-89,,12 MONTH,,0
9395057,23,33113,GASOLINE,FUEL DISPENSER,GILBARCO,,406957,9,PL-89,,12 MONTH,,0
9395058,24,33113,GASOLINE,FUEL DISPENSER,GILBARCO,,406957,10,PL-89,,12 MONTH,,0
9395059,25,33113,GASOLINE,FUEL DISPENSER,GILBARCO,,406958,11,PL-89,,12 MONTH,,0
9395060,26,33113,GASOLINE,FUEL DISPENSER,GILBARCO,,406958,12,PL-89,,12 MONTH,,0
9395061,27,33113,GASOLINE,FUEL DISPENSER,GILBARCO,,406959,13,PL-89,,12 MONTH,,0
9395062,28,33113,GASOLINE,FUEL DISPENSER,GILBARCO,,406959,14,PL-89,,12 MONTH,,0
9395063,29,33113,GASOLINE,FUEL DISPENSER,GILBARCO,,406953,1,R-87,,12 MONTH,,0
9395064,30,33113,GASOLINE,FUEL DISPENSER,GILBARCO,,406953,2,R-87,,12 MONTH,,0
9395065,31,33113,GASOLINE,FUEL DISPENSER,GILBARCO,,406954,3,R-87,,12 MONTH,,0
9395066,32,33113,GASOLINE,FUEL DISPENSER,GILBARCO,,406954,4,R-87,,12 MONTH,,0
9395067,33,33113,GASOLINE,FUEL DISPENSER,GILBARCO,,406955,5,R-87,,12 MONTH,,0
9395068,34,33113,GASOLINE,FUEL DISPENSER,GILBARCO,,406955,6,R-87,,12 MONTH,,0
9395069,35,33113,GASOLINE,FUEL DISPENSER,GILBARCO,,406956,7,R-87,,12 MONTH,,0
9395070,36,33113,GASOLINE,FUEL DISPENSER,GILBARCO,,406956,8,R-87,,12 MONTH,,0
9395071,37,33113,GASOLINE,FUEL DISPENSER,GILBARCO,,406957,9,R-87,,12 MONTH,,0
9395072,38,33113,GASOLINE,FUEL DISPENSER,GILBARCO,,406957,10,R-87,,12 MONTH,,0
9395073,39,33113,GASOLINE,FUEL DISPENSER,GILBARCO,,406958,11,R-87,,12 MONTH,,0
9395074,40,33113,GASOLINE,FUEL DISPENSER,GILBARCO,,406958,12,R-87,,12 MONTH,,0
9395075,41,33113,GASOLINE,FUEL DISPENSER,GILBARCO,,406954,13,R-87,,12 MONTH,,0
9395076,42,33113,GASOLINE,FUEL DISPENSER,GILBARCO,,406959,14,R-87,,12 MONTH,,0
