_id,store_id,store_name,address,mailing_city,state,zip,municipality,corp_id,neighborhood,longitude,latitude,business_phone,alternate_phone,price_verification,fuel_dispenser,scale,timing,misc_inspection,oob,unit,shopping_center,new_municipality
1840411,29999,SANDY CREEK SUPPLY,140 SANDY CREEK RD,VERONA,PA,15147,VERONA,,,-79.8510465,40.481883,412-793-8303,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,PENN HILLS
1840412,30000,MIMI MOTHERHOOD MATERNITY,200 MALL CIRCLE DR,MONROEVILLE,PA,15146,MONROEVILLE,,,-79.7960295,40.42926,412-666-0644,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,MONROEVILLE MALL,MONROEVILLE
1840413,30003,EXPRESS FACTORY,200 MALL CIRCLE DR,MONROEVILLE,PA,15146,MONROEVILLE,,,-79.7960295,40.42926,(412) 856-9353,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,MONROEVILLE MALL,Monroeville
1840414,30004,AMERICAN EAGLE OUTFITTERS,200 MALL CIRCLE DR,MONROEVILLE,PA,15146,MONROEVILLE,,,-79.7960295,40.42926,(412) 372-9092,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,MONROEVILLE MALL ,Monroeville
1840415,30005,GNC,200 MALL CIRCLE DR,MONROEVILLE,PA,15146,MONROEVILLE,,,-79.7960295,40.42926,(412) 372-9600,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,MONROEVILLE MALL,Monroeville
1840416,30006,BROOKSTONE,200 MALL CIRCLE DR,MONROEVILLE,PA,15146,MONROEVILLE,,,-79.7960295,40.42926,412-374-7241,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,MONROEVILLE MALL,MONROEVILLE
1840417,30007,JUSTICE,200 MALL CIRCLE DR,MONROEVILLE,PA,15146,MONROEVILLE,,,-79.7960295,40.42926,(412) 373-5480,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,MONROEVILLE MALL,Monroeville
1840418,30010,SHERWIN WILLIAMS,3603 LIBRARY RD,PITTSBURGH,PA,15234,CASTLE SHANNON,,,-80.017623,40.364982,(412) 885-1050,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
1840419,30011,BUSY BEAVER,2940 LIBRARY RD,PITTSBURGH,PA,15234,CASTLE SHANNON,,,-80.005923,40.375242,(412) 882-6633,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Pittsburgh
1840420,30012,CHRISTOPHER & BANKS,200 MALL CIRCLE DR,MONROEVILLE,PA,15146,MONROEVILLE,,,-79.7960295,40.42926,(412) 373-7105,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,MONROEVILLE MALL,Monroeville
1840421,30013,WET SEAL,200 MALL CIRCLE DR,MONROEVILLE,PA,15146,MONROEVILLE,,,-79.7960295,40.42926,412-856-6070,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,MONROEVILLE MALL,MONROEVILLE
1840422,30014,FOREVER 21,200 MALL CIRCLE DR,MONROEVILLE,PA,15146,MONROEVILLE,,,-79.7960295,40.42926,(412) 858-5295,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,MONROEVILLE MALL,Monroeville
1840423,30015,RUE 21,200 MALL CIRCLE DR,MONROEVILLE,PA,15146,MONROEVILLE,,,-79.7960295,40.42926,(412) 372-8515,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,MONROEVILLE MALL,Monroeville
1840424,30017,LOWES,2100 WASHINGTON PIKE,CARNEGIE,PA,15106,CARNEGIE,,,-80.0931015,40.386267,(412) 200-3101,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,RACEWAY PLAZA,Scott
1840425,30018,BIG LOTS,1155 WASHINGTON PIKE,BRIDGEVILLE,PA,15017,BRIDGEVILLE,,,-80.1035865,40.36824,(412) 257-1549,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,GREAT SOUTHERN SHOPPING CENTER,Bridgeville
1840426,30019,SALLY BEAUTY SUPPLY,1155 WASHINGTON PIKE,BRIDGEVILLE,PA,15017,BRIDGEVILLE,,,-80.1035865,40.36824,(412) 221-3110,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,GREAT SOUTHERN SHOPPING CENTER,Bridgeville
1840427,30020,GNC,1155 WASHINGTON PIKE,BRIDGEVILLE,PA,15017,BRIDGEVILLE,,,-80.1035865,40.36824,412-220-9248,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,GREAT SOUTHERN SHOPPING CENTER,Bridgeville
1840428,30021,OFFICE MAX,1155 WASHINGTON PIKE,BRIDGEVILLE,PA,15017,BRIDGEVILLE,,,-80.1035865,40.36824,(412) 221-2260,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,GREAT SOUTHERN SHOPPING CENTER,Bridgeville
1840429,30022,JOANN FABRIC,1155 WASHINGTON PIKE,BRIDGEVILLE,PA,15017,BRIDGEVILLE,,,-80.1035865,40.36824,(412) 221-5037,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,GREAT SOUTHERN SHOPPING CENTER,Bridgeville
1840430,30023,SUNGLASS HUT,200 MALL CIRCLE DR,MONROEVILLE,PA,15146,MONROEVILLE,,,-79.7960295,40.42926,(412) 373-1488,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,MONROEVILLE MALL ,Monroeville
1840431,30024,BATH & BODY WORKS,200 MALL CIRCLE DR,MONROEVILLE,PA,15146,MONROEVILLE,,,-79.7960295,40.42926,(412) 856-8428,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,MONROEVILLE MALL,Monroeville
1840432,30025,RITE AID,5100 LIBRARY RD,BETHEL PARK,PA,15102,BETHEL PARK,,,-80.0266725,40.338,(412) 854-1207,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
1840433,30026,ADVANCE AUTO PARTS,5120 LIBRARY RD,BETHEL PARK,PA,15102,BETHEL PARK,,,-80.0256825,40.336893,(412) 854-9470,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
1840434,30027,RITE AID,6375 LIBRARY RD,SOUTH PARK,PA,15129,LIBRARY,,,-80.027244,40.289796,(412) 831-8350,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
1840435,30028,FYE,200 MALL CIRCLE DR,MONROEVILLE,PA,15146,MONROEVILLE,,,-79.7960295,40.42926,412-372-2300,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,MONROEVILLE MALL,MONROEVILLE
1840436,30031,SPENCER GIFTS,200 MALL CIRCLE DR,MONROEVILLE,PA,15146,MONROEVILLE,,,-79.7960295,40.42926,(412) 372-8470,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,MONROEVILLE MALL,Monroeville
1840437,30032,GAME STOP,200 MALL CIRCLE DR,MONROEVILLE,PA,15146,MONROEVILLE,,,-79.7960295,40.42926,(412) 372-8822,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,MONROEVILLE MALL,Monroeville
1840438,30033,HALLMARK,200 MALL CIRCLE DR,MONROEVILLE,PA,15146,MONROEVILLE,,,-79.7960295,40.42926,(412) 856-8245,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,MONROEVILLE MALL,Monroeville
1840439,30034,THINGS REMEMBERED,200 MALL CIRCLE DR,MONROEVILLE,PA,15146,MONROEVILLE,,,-79.7960295,40.42926,412-374-8018,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,MONROEVILLE MALL,Monroeville
